,time,lat,lon,rain,MEV,HMV,vr500,vws1,vws3,mfc
100,202206260910,38.39,116.33,28.6,1.0555766,250.0,1.4799999771639705,10.142681,7.623442,8.591614
101,202206260930,38.39,116.3,25.63,1.0422129,250.0,1.6199994133785367,10.912963,8.111277,8.674607
102,202206260950,37.55,116.47,25.07,1.00395046,2125.0,0.8099994738586247,5.3393717,6.2487698,2.6104398
103,202206261000,37.63,116.41,25.01,1.02935075,2125.0,0.6200003554113209,6.0795207,7.5565696,3.3850455
104,202206261010,37.59,115.65,20.43,1.20678975,250.0,1.0100002400577068,7.2912617,4.767488,2.2907867
105,202206261020,38.31,116.96,43.04,1.4488291,1875.0,0.5900001269765198,9.92817,7.5246797,15.524296
106,202206261030,37.56,116.15,33.83,1.0387986,250.0,0.7899999618530273,5.8253026,6.297501,2.7277772
107,202206261040,37.57,116.16,28.99,1.0841249,250.0,0.5599999567493796,5.948294,5.3141036,2.0669262
108,202206261100,38.29,117.0,25.57,1.3613518,1875.0,0.4799992893822491,7.0406814,5.4801397,12.257539
109,202206261110,38.33,117.1,23.54,1.1121755,250.0,0.44999999227002263,5.974538,4.551297,10.140139
110,202206261200,37.06,115.81,20.92,1.1345935999999999,2500.0,0.9199996129609644,4.359937,5.9756756,1.3197162
111,202206261240,36.96,115.75,26.76,1.2847847000000001,250.0,0.7800002349540591,4.151346,7.3082056,3.204701
112,202206261300,36.56,115.0,23.67,1.5754369,1375.0,1.6599998343735933,8.141998,8.365599,3.1069484
113,202206261310,36.64,115.16,28.22,1.2856294,1625.0,1.1500001419335604,7.8772135,7.9939866,3.0301278
114,202206261320,36.57,115.13,23.71,1.2916322,1625.0,1.3500001514330506,8.1584425,9.029047,2.7303128
115,202206261330,36.51,115.19,29.15,1.0103391,1625.0,1.3099999632686377,9.119274,9.870807,3.5950654
116,202206262000,36.37,115.15,26.07,1.0906677,1625.0,1.4000004157423973,10.78214,10.559541,2.988977
117,202206270610,36.45,115.31,22.09,1.13849004,1375.0,1.120000029914081,9.760034,9.14143,4.602147
118,202206271750,39.33,116.43,32.02,1.0101269400000001,250.0,1.4399997889995575,8.025796,4.995018,2.6683846
119,202206271820,39.06,116.8,26.26,1.2546738000000002,125.0,3.0100003350526094,9.044094,4.513811,1.520044
120,202206280310,38.07,116.16,32.72,1.02460166,250.0,3.3699998166412115,6.2025137,8.213076,5.757442
121,202206280320,38.07,116.17,35.3,1.0132902400000001,250.0,4.209999926388264,6.347353,8.628151,8.380949
122,202206280330,38.04,116.27,33.64,1.3660429,250.0,5.080000497400761,6.751287,9.502453,11.305184
123,202206280340,37.39,116.02,34.91,2.0121869,875.0,8.030000142753124,5.32592,10.280259,8.332424
124,202206280350,37.43,116.07,35.06,1.9952009000000002,1000.0,6.520000286400318,5.20608,9.5018835,6.662217
125,202206280410,38.16,116.45,41.54,1.00207944,500.0,4.2500002309679985,6.6160083,9.511732,4.695741
126,202206280420,38.24,116.55,33.41,1.3093860999999998,250.0,5.179999861866236,7.3800163,10.095123,6.070236
127,202206280430,38.26,116.65,40.66,1.5027892,250.0,6.200000178068876,8.596829,10.490189,7.6104755
128,202206280440,38.27,116.75,30.63,1.4596968,250.0,5.190000403672457,8.457233,9.817223,4.487055
129,202206280520,38.01,116.96,23.9,1.0855252,250.0,2.3200002033263445,6.8181295,10.95546,4.989157
130,202206280530,38.02,116.98,25.4,1.18470736,250.0,2.8500002808868885,7.432457,11.682996,6.8854585
131,202206280540,38.03,117.05,26.98,1.2947686999999999,250.0,2.680000150576234,7.8261924,11.261534,4.8735743
132,202206280550,37.97,117.11,40.11,1.123456,250.0,1.9000000320374966,8.087315,10.87603,4.1116877
